"IPAddress","Department"
"192.168.0.1","IT"
"192.168.0.2","Accounting"
"192.168.0.3","HR"
"192.168.0.4","IT"
"192.168.0.5","Accounting"
"192.168.0.6","Accounting"
"192.168.0.7","Accounting"
"192.168.0.8","Accounting"
"192.168.0.9","IT"
"192.168.0.10","HR"
"192.168.0.11","IT"
"192.168.0.12","IT"
"192.168.0.13","Accounting"
"192.168.0.14","HR"
"192.168.0.15","HR"
"192.168.0.16","IT"
"192.168.0.17","IT"
"192.168.0.18","HR"
"192.168.0.19","HR"
"192.168.0.20","HR"
"192.168.0.21","Accounting"
"192.168.0.22","HR"
"192.168.0.23","Accounting"
"192.168.0.24","Accounting"
"192.168.0.25","HR"
"192.168.0.26","IT"
"192.168.0.27","IT"
"192.168.0.28","Accounting"
"192.168.0.29","HR"
"192.168.0.30","IT"
"192.168.0.31","Accounting"
"192.168.0.32","Accounting"
"192.168.0.33","Accounting"
"192.168.0.34","HR"
"192.168.0.35","HR"
"192.168.0.36","Accounting"
"192.168.0.37","IT"
"192.168.0.38","IT"
"192.168.0.39","Accounting"
"192.168.0.40","HR"
"192.168.0.41","IT"
"192.168.0.42","Accounting"
"192.168.0.43","IT"
"192.168.0.44","Accounting"
"192.168.0.45","IT"
"192.168.0.46","IT"
"192.168.0.47","Accounting"
"192.168.0.48","IT"
"192.168.0.49","HR"
"192.168.0.50","Accounting"
"192.168.0.51","Accounting"
"192.168.0.52","HR"
"192.168.0.53","Accounting"
"192.168.0.54","HR"
"192.168.0.55","HR"
"192.168.0.56","IT"
"192.168.0.57","IT"
"192.168.0.58","Accounting"
"192.168.0.59","IT"
"192.168.0.60","HR"
"192.168.0.61","HR"
"192.168.0.62","Accounting"
"192.168.0.63","IT"
"192.168.0.64","HR"
"192.168.0.65","HR"
"192.168.0.66","IT"
"192.168.0.67","Accounting"
"192.168.0.68","HR"
"192.168.0.69","HR"
"192.168.0.70","Accounting"
"192.168.0.71","IT"
"192.168.0.72","HR"
"192.168.0.73","IT"
"192.168.0.74","Accounting"
"192.168.0.75","Accounting"
"192.168.0.76","HR"
"192.168.0.77","HR"
"192.168.0.78","HR"
"192.168.0.79","IT"
"192.168.0.80","HR"
"192.168.0.81","IT"
"192.168.0.82","HR"
"192.168.0.83","Accounting"
"192.168.0.84","HR"
"192.168.0.85","IT"
"192.168.0.86","IT"
"192.168.0.87","Accounting"
"192.168.0.88","IT"
"192.168.0.89","Accounting"
"192.168.0.90","HR"
"192.168.0.91","IT"
"192.168.0.92","HR"
"192.168.0.93","Accounting"
"192.168.0.94","HR"
"192.168.0.95","Accounting"
"192.168.0.96","IT"
"192.168.0.97","IT"
"192.168.0.98","Accounting"
"192.168.0.99","IT"
"192.168.0.100","Accounting"
"192.168.0.101","Accounting"
"192.168.0.102","IT"
"192.168.0.103","Accounting"
"192.168.0.104","IT"
"192.168.0.105","HR"
"192.168.0.106","HR"
"192.168.0.107","Accounting"
"192.168.0.108","IT"
"192.168.0.109","HR"
"192.168.0.110","Accounting"
"192.168.0.111","Accounting"
"192.168.0.112","IT"
"192.168.0.113","Accounting"
"192.168.0.114","Accounting"
"192.168.0.115","IT"
"192.168.0.116","Accounting"
"192.168.0.117","Accounting"
"192.168.0.118","HR"
"192.168.0.119","Accounting"
"192.168.0.120","Accounting"
"192.168.0.121","IT"
"192.168.0.122","IT"
"192.168.0.123","HR"
"192.168.0.124","HR"
"192.168.0.125","Accounting"
"192.168.0.126","HR"
"192.168.0.127","HR"
"192.168.0.128","Accounting"
"192.168.0.129","Accounting"
"192.168.0.130","HR"
"192.168.0.131","HR"
"192.168.0.132","IT"
"192.168.0.133","Accounting"
"192.168.0.134","HR"
"192.168.0.135","HR"
"192.168.0.136","IT"
"192.168.0.137","HR"
"192.168.0.138","IT"
"192.168.0.139","HR"
"192.168.0.140","IT"
"192.168.0.141","Accounting"
"192.168.0.142","Accounting"
"192.168.0.143","IT"
"192.168.0.144","HR"
"192.168.0.145","IT"
"192.168.0.146","IT"
"192.168.0.147","IT"
"192.168.0.148","IT"
"192.168.0.149","IT"
"192.168.0.150","IT"
"192.168.0.151","IT"
"192.168.0.152","Accounting"
"192.168.0.153","Accounting"
"192.168.0.154","Accounting"
"192.168.0.155","HR"
"192.168.0.156","Accounting"
"192.168.0.157","HR"
"192.168.0.158","HR"
"192.168.0.159","HR"
"192.168.0.160","IT"
"192.168.0.161","IT"
"192.168.0.162","Accounting"
"192.168.0.163","Accounting"
"192.168.0.164","IT"
"192.168.0.165","Accounting"
"192.168.0.166","HR"
"192.168.0.167","IT"
"192.168.0.168","IT"
"192.168.0.169","IT"
"192.168.0.170","IT"
"192.168.0.171","Accounting"
"192.168.0.172","Accounting"
"192.168.0.173","Accounting"
"192.168.0.174","Accounting"
"192.168.0.175","HR"
"192.168.0.176","IT"
"192.168.0.177","IT"
"192.168.0.178","Accounting"
"192.168.0.179","IT"
"192.168.0.180","IT"
"192.168.0.181","HR"
"192.168.0.182","Accounting"
"192.168.0.183","HR"
"192.168.0.184","IT"
"192.168.0.185","HR"
"192.168.0.186","IT"
"192.168.0.187","IT"
"192.168.0.188","Accounting"
"192.168.0.189","IT"
"192.168.0.190","HR"
"192.168.0.191","IT"
"192.168.0.192","HR"
"192.168.0.193","IT"
"192.168.0.194","HR"
"192.168.0.195","IT"
"192.168.0.196","IT"
"192.168.0.197","HR"
"192.168.0.198","HR"
"192.168.0.199","IT"
"192.168.0.200","HR"
"192.168.0.201","IT"
"192.168.0.202","HR"
"192.168.0.203","Accounting"
"192.168.0.204","HR"
"192.168.0.205","Accounting"
"192.168.0.206","IT"
"192.168.0.207","HR"
"192.168.0.208","IT"
"192.168.0.209","IT"
"192.168.0.210","IT"
"192.168.0.211","IT"
"192.168.0.212","Accounting"
"192.168.0.213","Accounting"
"192.168.0.214","IT"
"192.168.0.215","Accounting"
"192.168.0.216","IT"
"192.168.0.217","HR"
"192.168.0.218","HR"
"192.168.0.219","IT"
"192.168.0.220","IT"
"192.168.0.221","IT"
"192.168.0.222","HR"
"192.168.0.223","IT"
"192.168.0.224","IT"
"192.168.0.225","IT"
"192.168.0.226","IT"
"192.168.0.227","Accounting"
"192.168.0.228","IT"
"192.168.0.229","HR"
"192.168.0.230","Accounting"
"192.168.0.231","IT"
"192.168.0.232","IT"
"192.168.0.233","IT"
"192.168.0.234","HR"
"192.168.0.235","HR"
"192.168.0.236","Accounting"
"192.168.0.237","Accounting"
"192.168.0.238","HR"
"192.168.0.239","HR"
"192.168.0.240","Accounting"
"192.168.0.241","HR"
"192.168.0.242","HR"
"192.168.0.243","HR"
"192.168.0.244","IT"
"192.168.0.245","IT"
"192.168.0.246","IT"
"192.168.0.247","HR"
"192.168.0.248","IT"
"192.168.0.249","HR"
"192.168.0.250","IT"
"192.168.0.251","HR"
"192.168.0.252","IT"
"192.168.0.253","HR"
"192.168.0.254","IT"
